id,sector,name,pitch,target_market,model_slug,budget_band,location,team,time_mode,source,ref
3107,ODOP (One District One Product),Farrukhabad Prints,Farrukhabad Prints is the ODOP of Farrukhabad. Work with its makers and sell their work to city and export buyers.,,handloom-textiles-brand,3,,,,odop,odop:farrukhabad-print
3108,ODOP (One District One Product),Fasteners & Machine Tools,Fastners and Machine Tools is the ODOP of Rohtak. Work with its makers and sell their work to city and export buyers.,,light-engineering-unit,3,,,,odop,odop:fastner-machine-tool
3109,ODOP (One District One Product),Feni Brand,"Feni is the ODOP of South Goa. Buy direct from growers there and sell a processed, branded product.",,beverage-brand,3,,,,odop,odop:feni
3110,ODOP (One District One Product),Firozabad Glass,Firozabad Glass is the ODOP of Firozabad. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,3,,,,odop,odop:firozabad-glas
3111,ODOP (One District One Product),Fish Products Processing,"Fish product is the ODOP of Khurdha. Buy direct from growers there and sell a processed, branded product.",,seafood-processing,3,,,,odop,odop:fish-product
3112,ODOP (One District One Product),Fisheries And Allied Products Processing,"Fisheries and Allied Products is the ODOP of Yanam. Buy direct from growers there and sell a processed, branded product.",,seafood-processing,3,,,,odop,odop:fisherie-allied-product
3113,ODOP (One District One Product),Floriculture Nursery,"Floriculture is the ODOP of Pakyong. Buy direct from growers there and sell a processed, branded product.",,nursery-and-plants,3,,,,odop,odop:floriculture
3114,ODOP (One District One Product),Flute And Wooden Products,Flute and Wooden Products is the ODOP of Pilibhit. Work with its makers and sell their work to city and export buyers.,,handcrafted-home-decor,2,,,,odop,odop:flute-wooden-product
3115,ODOP (One District One Product),Papaya Processing,"Food Processing Papaya is the ODOP of Mahisagar. Buy direct from growers there and sell a processed, branded product.",,fruit-and-vegetable-processing,3,,,,odop,odop:food-processing-papaya
3116,ODOP (One District One Product),Food Processing Unit,"Food Processing (Rice Mill & Dairy Products ) is the ODOP of Kaithal. Buy direct from growers there and sell a processed, branded product.",,dairy-farm,4,,,,odop,odop:food-processing-rice-mill-dairy-product
